GeneID	length	SYMBOL
ENSG00000004939	5125	SLC4A1
ENSG00000004948	4222	CALCR
ENSG00000004961	2343	HCCS
ENSG00000004975	5321	DVL2
ENSG00000005001	2480	PRSS22
ENSG00000005007	8934	UPF1
ENSG00000005020	5361	SKAP2
ENSG00000005022	1555	SLC25A5
ENSG00000005059	3555	MCUB
ENSG00000005073	2669	HOXA11
ENSG00000005075	937	POLR2J
ENSG00000005100	5789	DHX33
ENSG00000005102	2674	MEOX1
ENSG00000005108	10915	THSD7A
ENSG00000005156	12901	LIG3
ENSG00000005175	5350	RPAP3
ENSG00000005187	7510	ACSM3
ENSG00000005189	4111	REXO5
ENSG00000005194	3383	CIAPIN1
ENSG00000005206	7419	SPPL2B
ENSG00000005238	6375	ATOSB
ENSG00000005243	1866	COPZ2
ENSG00000005249	12581	PRKAR2B
ENSG00000005302	9780	MSL3
ENSG00000005339	15479	CREBBP
ENSG00000005379	11389	TSPOAP1
ENSG00000005381	4427	MPO
ENSG00000005421	2657	PON1
ENSG00000005436	5462	GCFC2
ENSG00000005448	2852	WDR54
ENSG00000005469	4995	CROT
ENSG00000005471	7728	ABCB4
ENSG00000005483	13704	KMT2E
ENSG00000005486	2390	RHBDD2
ENSG00000005513	5536	SOX8
ENSG00000005700	8719	IBTK
ENSG00000005801	11711	ZNF195
ENSG00000005810	34127	MYCBP2
ENSG00000005812	7076	FBXL3
ENSG00000005844	9864	ITGAL
ENSG00000005882	5471	PDK2
ENSG00000005884	9802	ITGA3
ENSG00000005889	9037	ZFX
ENSG00000005893	10628	LAMP2
ENSG00000005961	5695	ITGA2B
ENSG00000005981	4606	ASB4
ENSG00000006007	4390	GDE1
ENSG00000006015	3371	REX1BD
ENSG00000006016	2967	CRLF1
ENSG00000006025	6541	OSBPL7
ENSG00000006042	5187	TMEM98
ENSG00000006047	4631	YBX2
ENSG00000006059	1303	KRT33A
ENSG00000006062	5668	MAP3K14
ENSG00000006071	27254	ABCC8
ENSG00000006116	1917	CACNG3
ENSG00000006118	7274	TMEM132A
ENSG00000006125	7591	AP2B1
ENSG00000006128	1712	TAC1
ENSG00000006194	8450	ZNF263
ENSG00000006210	5960	CX3CL1
ENSG00000006282	5237	SPATA20
ENSG00000006283	10062	CACNA1G
ENSG00000006327	1801	TNFRSF12A
ENSG00000006377	3445	DLX6
ENSG00000006432	12386	MAP3K9
ENSG00000006451	3579	RALA
ENSG00000006453	4821	BAIAP2L1
ENSG00000006459	9378	KDM7A
ENSG00000006468	9592	ETV1
ENSG00000006530	10697	AGK
ENSG00000006534	6622	ALDH3B1
ENSG00000006555	6111	TTC22
ENSG00000006576	8665	PHTF2
ENSG00000006606	703	CCL26
ENSG00000006607	14371	FARP2
ENSG00000006611	4904	USH1C
ENSG00000006625	1594	GGCT
ENSG00000006634	4595	DBF4
ENSG00000006638	2827	TBXA2R
ENSG00000006652	7902	IFRD1
ENSG00000006659	904	LGALS14
ENSG00000006695	6756	COX10
ENSG00000006704	6499	GTF2IRD1
ENSG00000006712	2850	PAF1
ENSG00000006715	7752	VPS41
ENSG00000006740	9322	ARHGAP44
ENSG00000006744	7002	ELAC2
ENSG00000006747	11626	SCIN
ENSG00000006756	7026	ARSD
ENSG00000006757	3411	PNPLA4
ENSG00000006788	6120	MYH13
ENSG00000006831	5831	ADIPOR2
ENSG00000006837	3149	CDKL3
ENSG00000007001	3996	UPP2
ENSG00000007038	1967	PRSS21
ENSG00000007047	6656	MARK4
ENSG00000007062	7457	PROM1
ENSG00000007080	1661	CCDC124
ENSG00000007129	1977	CEACAM21
ENSG00000007168	14289	PAFAH1B1
ENSG00000007171	6129	NOS2
ENSG00000007174	16941	DNAH9
ENSG00000007202	9232	BLTP2
ENSG00000007216	3226	SLC13A2
ENSG00000007237	10158	GAS7
ENSG00000007255	933	TRAPPC6A
ENSG00000007264	4138	MATK
ENSG00000007306	2653	CEACAM7
ENSG00000007312	2125	CD79B
ENSG00000007314	8243	SCN4A
ENSG00000007341	8108	ST7L
ENSG00000007350	3570	TKTL1
ENSG00000007372	20639	PAX6
ENSG00000007376	2769	RPUSD1
ENSG00000007384	4914	RHBDF1
ENSG00000007392	6176	LUC7L
ENSG00000007402	6508	CACNA2D2
ENSG00000007516	6808	BAIAP3
ENSG00000007520	1210	TSR3
ENSG00000007541	7856	PIGQ
ENSG00000007545	8596	CRAMP1
ENSG00000007866	3049	TEAD3
ENSG00000007908	4586	SELE
ENSG00000007923	12182	DNAJC11
ENSG00000007933	3439	FMO3
ENSG00000007944	3072	MYLIP
ENSG00000007952	2543	NOX1
ENSG00000007968	5462	E2F2
ENSG00000008018	2219	PSMB1
ENSG00000008056	3733	SYN1
ENSG00000008083	6244	JARID2
ENSG00000008086	19056	CDKL5
ENSG00000008118	3328	CAMK1G
ENSG00000008128	5085	CDK11A
ENSG00000008130	5570	NADK
ENSG00000008196	6155	TFAP2B
ENSG00000008197	2203	TFAP2D
ENSG00000008226	8338	DLEC1
ENSG00000008256	5802	CYTH3
ENSG00000008277	13668	ADAM22
ENSG00000008282	2909	SYPL1
ENSG00000008283	5296	CYB561
ENSG00000008294	11951	SPAG9
ENSG00000008300	13850	CELSR3
ENSG00000008311	10816	AASS
ENSG00000008323	4316	PLEKHG6
ENSG00000008324	3118	SS18L2
ENSG00000008382	2049	MPND
ENSG00000008394	7441	MGST1
ENSG00000008405	4782	CRY1
ENSG00000008438	708	PGLYRP1
ENSG00000008441	6486	NFIX
ENSG00000008513	8787	ST3GAL1
ENSG00000008516	4745	MMP25
ENSG00000008517	3209	IL32
ENSG00000008710	18534	PKD1
ENSG00000008735	5793	MAPK8IP2
ENSG00000008838	6962	MED24
ENSG00000008853	7408	RHOBTB2
ENSG00000008869	8238	HEATR5B
ENSG00000008952	7928	SEC62
ENSG00000008988	6765	RPS20
ENSG00000009307	9830	CSDE1
ENSG00000009335	9203	UBE3C
ENSG00000009413	12420	REV3L
ENSG00000009694	13547	TENM1
ENSG00000009709	7555	PAX7
ENSG00000009724	5113	MASP2
ENSG00000009765	10362	IYD
ENSG00000009780	4046	FAM76A
ENSG00000009790	7750	TRAF3IP3
ENSG00000009830	13203	POMT2
ENSG00000009844	7258	VTA1
ENSG00000009950	4815	MLXIPL
ENSG00000009954	7060	BAZ1B
ENSG00000010017	3618	RANBP9
ENSG00000010030	2374	ETV7
ENSG00000010072	5906	SPRTN
ENSG00000010165	3831	METTL13
ENSG00000010219	7050	DYRK4
ENSG00000010244	15818	ZNF207
ENSG00000010256	7034	UQCRC1
ENSG00000010270	4324	STARD3NL
ENSG00000010278	5829	CD9
ENSG00000010282	2888	HHATL
ENSG00000010292	6470	NCAPD2
ENSG00000010295	4945	IFFO1
ENSG00000010310	5069	GIPR
ENSG00000010318	3364	PHF7
ENSG00000010319	5047	SEMA3G
ENSG00000010322	9062	NISCH
ENSG00000010327	10588	STAB1
ENSG00000010361	2953	FUZ
ENSG00000010379	4243	SLC6A13
ENSG00000010404	9294	IDS
ENSG00000010438	1425	PRSS3
ENSG00000010539	7498	ZNF200
ENSG00000010610	4557	CD4
ENSG00000010626	3052	LRRC23
ENSG00000010671	7817	BTK
ENSG00000010704	6973	HFE
ENSG00000010803	4602	SCMH1
ENSG00000010810	7411	FYN
ENSG00000010818	11272	HIVEP2
ENSG00000010932	3602	FMO1
ENSG00000011007	5348	ELOA
ENSG00000011009	2056	LYPLA2
ENSG00000011021	8173	CLCN6
ENSG00000011028	6591	MRC2
ENSG00000011052	1241	NME1-NME2
ENSG00000011083	4277	SLC6A7
ENSG00000011105	6905	TSPAN9
ENSG00000011114	11333	BTBD7
ENSG00000011132	5596	APBA3
ENSG00000011143	11285	MKS1
ENSG00000011198	7539	ABHD5
ENSG00000011201	7082	ANOS1
ENSG00000011243	8576	AKAP8L
ENSG00000011258	7184	MBTD1
ENSG00000011260	2703	UTP18
ENSG00000011275	7576	RNF216
ENSG00000011295	6054	TTC19
ENSG00000011304	7521	PTBP1
ENSG00000011332	4800	DPF1
ENSG00000011347	7552	SYT7
ENSG00000011376	12407	LARS2
ENSG00000011405	9207	PIK3C2A
ENSG00000011422	4457	PLAUR
ENSG00000011426	5997	ANLN
ENSG00000011451	10037	WIZ
ENSG00000011454	7656	RABGAP1
ENSG00000011465	12941	DCN
ENSG00000011478	2825	QPCTL
ENSG00000011485	7089	PPP5C
ENSG00000011523	11832	CEP68
ENSG00000011566	6056	MAP4K3
ENSG00000011590	2739	ZBTB32
ENSG00000011600	907	TYROBP
ENSG00000011638	2558	LDAF1
ENSG00000011677	4150	GABRA3
ENSG00000012048	14160	BRCA1
ENSG00000012061	5575	ERCC1
ENSG00000012124	6165	CD22
ENSG00000012171	5768	SEMA3B
ENSG00000012174	8945	MBTPS2
ENSG00000012211	3656	PRICKLE3
ENSG00000012223	3989	LTF
ENSG00000012232	16477	EXTL3
ENSG00000012504	3628	NR1H4
ENSG00000012660	3813	ELOVL5
ENSG00000012779	3728	ALOX5
ENSG00000012817	9463	KDM5D
ENSG00000012822	8898	CALCOCO1
ENSG00000012963	3509	UBR7
ENSG00000012983	7580	MAP4K5
ENSG00000013016	4825	EHD3
ENSG00000013275	2550	PSMC4
ENSG00000013288	8884	MAN2B2
ENSG00000013293	10496	SLC7A14
ENSG00000013297	4321	CLDN11
ENSG00000013306	3526	SLC25A39
ENSG00000013364	6141	MVP
ENSG00000013374	5338	NUB1
ENSG00000013375	22007	PGM3
ENSG00000013392	3769	RWDD2A
ENSG00000013441	5117	CLK1
ENSG00000013503	4768	POLR3B
ENSG00000013523	7798	ANGEL1
ENSG00000013561	4988	RNF14
ENSG00000013563	4132	DNASE1L1
ENSG00000013573	8367	DDX11
ENSG00000013583	3428	HEBP1
ENSG00000013588	8440	GPRC5A
ENSG00000013619	6664	MAMLD1
ENSG00000013725	5958	CD6
ENSG00000013810	8825	TACC3
ENSG00000014123	4539	UFL1
ENSG00000014138	12006	POLA2
ENSG00000014164	3721	ZC3H3
ENSG00000014216	7506	CAPN1
ENSG00000014257	4284	ACP3
ENSG00000014641	4990	MDH1
ENSG00000014824	7199	SLC30A9
ENSG00000014914	4572	MTMR11
ENSG00000014919	5215	COX15
ENSG00000015133	12426	CCDC88C
ENSG00000015153	10839	YAF2
ENSG00000015171	12925	ZMYND11
ENSG00000015285	3402	WAS
ENSG00000015413	2737	DPEP1
ENSG00000015475	4420	BID
ENSG00000015479	12064	MATR3
ENSG00000015520	5267	NPC1L1
ENSG00000015532	5472	XYLT2
ENSG00000015568	14185	RGPD5
ENSG00000015592	3309	STMN4
ENSG00000015676	9893	NUDCD3
ENSG00000016082	2817	ISL1
ENSG00000016391	7787	CHDH
ENSG00000016402	4730	IL20RA
ENSG00000016490	3310	CLCA1
ENSG00000016602	3447	CLCA4
ENSG00000016864	3785	GLT8D1
ENSG00000017260	8510	ATP2C1
ENSG00000017427	8115	IGF1
ENSG00000017483	4017	SLC38A5
ENSG00000017797	8041	RALBP1
ENSG00000018189	9405	RUFY3
ENSG00000018236	7649	CNTN1
ENSG00000018280	8676	SLC11A1
ENSG00000018408	8353	WWTR1
ENSG00000018510	15223	AGPS
ENSG00000018607	1774	ZNF285CP
ENSG00000018610	2581	STEEP1
ENSG00000018625	6298	ATP1A2
ENSG00000018699	3443	TTC27
ENSG00000018869	3341	ZNF582
ENSG00000019102	1447	VSIG2
ENSG00000019144	21691	PHLDB1
ENSG00000019169	2051	MARCO
ENSG00000019186	3988	CYP24A1
ENSG00000019485	13976	PRDM11
ENSG00000019505	5445	SYT13
ENSG00000019549	3281	SNAI2
ENSG00000019582	4526	CD74
ENSG00000019991	9753	HGF
ENSG00000019995	5993	ZRANB1
ENSG00000020129	4917	NCDN
ENSG00000020181	7084	ADGRA2
ENSG00000020219	1674	CCT8L1P
ENSG00000020256	6790	ZFP64
ENSG00000020426	3877	MNAT1
ENSG00000020577	12333	SAMD4A
ENSG00000020633	4922	RUNX3
ENSG00000020922	7674	MRE11
ENSG00000021300	4933	PLEKHB1
ENSG00000021355	3047	SERPINB1
ENSG00000021461	2628	CYP3A43
ENSG00000021488	2598	SLC7A9
ENSG00000021574	9950	SPAST
ENSG00000021645	15534	NRXN3
ENSG00000021762	7473	OSBPL5
ENSG00000021776	13431	AQR
ENSG00000021826	11018	CPS1
ENSG00000021852	3931	C8B
ENSG00000022267	5862	FHL1
ENSG00000022277	4063	RTF2
ENSG00000022355	8420	GABRA1
ENSG00000022556	6313	NLRP2
ENSG00000022567	8608	SLC45A4
ENSG00000022840	5900	RNF10
ENSG00000022976	5595	ZNF839
ENSG00000023041	9250	ZDHHC6
ENSG00000023171	14932	GRAMD1B
ENSG00000023191	7374	RNH1
ENSG00000023228	12174	NDUFS1
ENSG00000023287	7613	RB1CC1
ENSG00000023318	14212	ERP44
ENSG00000023330	2536	ALAS1
ENSG00000023445	7484	BIRC3
ENSG00000023516	9915	AKAP11
ENSG00000023572	6210	GLRX2
ENSG00000023608	2593	SNAPC1
ENSG00000023697	2813	DERA
ENSG00000023734	2215	STRAP
ENSG00000023839	7837	ABCC2
ENSG00000023892	5066	DEF6
ENSG00000023902	6629	PLEKHO1
ENSG00000023909	5426	GCLM
ENSG00000024048	8874	UBR2
ENSG00000024422	3844	EHD2
ENSG00000024526	5904	DEPDC1
ENSG00000024862	1247	CCDC28A
ENSG00000025039	5095	RRAGD
ENSG00000025156	2697	HSF2
ENSG00000025293	8372	PHF20
ENSG00000025423	2272	HSD17B6
ENSG00000025434	4534	NR1H3
ENSG00000025708	3600	TYMP
ENSG00000025770	4459	NCAPH2
ENSG00000025772	1973	TOMM34
ENSG00000025796	8606	SEC63
ENSG00000025800	7457	KPNA6
ENSG00000026025	5176	VIM
ENSG00000026036	9093	RTEL1-TNFRSF6B
ENSG00000026103	29313	FAS
ENSG00000026297	19532	RNASET2
ENSG00000026508	9992	CD44
ENSG00000026559	5415	KCNG1
ENSG00000026652	14253	AGPAT4
ENSG00000026751	4833	SLAMF7
ENSG00000026950	5539	BTN3A1
ENSG00000027001	3388	MIPEP
ENSG00000027075	8947	PRKCH
ENSG00000027644	5200	INSRR
ENSG00000027697	3549	IFNGR1
ENSG00000027847	4878	B4GALT7
ENSG00000027869	2498	SH2D2A
ENSG00000028116	3531	VRK2
ENSG00000028137	3778	TNFRSF1B
ENSG00000028203	8766	VEZT
ENSG00000028277	9072	POU2F2
ENSG00000028310	9549	BRD9
ENSG00000028528	9789	SNX1
ENSG00000028839	5039	TBPL1
ENSG00000029153	7001	BMAL2
ENSG00000029363	9533	BCLAF1
ENSG00000029364	7138	SLC39A9
ENSG00000029534	10996	ANK1
ENSG00000029559	1573	IBSP
ENSG00000029639	4111	TFB1M
ENSG00000029725	7059	RABEP1
ENSG00000029993	3914	HMGB3
ENSG00000030066	8576	NUP160
ENSG00000030110	2212	BAK1
ENSG00000030304	9176	MUSK
ENSG00000030419	12243	IKZF2
ENSG00000030582	3524	GRN
ENSG00000031003	6808	FAM13B
ENSG00000031081	9374	ARHGAP31
ENSG00000031691	1741	CENPQ
ENSG00000031698	3849	SARS1
ENSG00000031823	7445	RANBP3
ENSG00000032219	7449	ARID4A
ENSG00000032389	5723	EIPR1
ENSG00000032444	7161	PNPLA6
ENSG00000032742	6049	IFT88
ENSG00000033011	10637	ALG1
ENSG00000033030	8981	ZCCHC8
ENSG00000033050	5158	ABCF2
ENSG00000033100	6498	CHPF2
ENSG00000033122	30043	LRRC7
ENSG00000033170	6976	FUT8
ENSG00000033178	11408	UBA6
ENSG00000033327	6775	GAB2
ENSG00000033627	12938	ATP6V0A1
ENSG00000033800	10647	PIAS1
ENSG00000033867	9564	SLC4A7
ENSG00000034053	6869	APBA2
ENSG00000034152	3775	MAP2K3
ENSG00000034239	5822	CLXN
ENSG00000034510	461	TMSB10
ENSG00000034533	3427	ASTE1
ENSG00000034677	5852	RNF19A
ENSG00000034693	2830	PEX3
ENSG00000034713	3010	GABARAPL2
ENSG00000034971	2104	MYOC
ENSG00000035115	11132	SH3YL1
ENSG00000035141	3062	FAM136A
ENSG00000035403	9992	VCL
ENSG00000035499	3806	DEPDC1B
ENSG00000035664	13661	DAPK2
ENSG00000035681	6170	NSMAF
ENSG00000035687	3441	ADSS2
ENSG00000035720	1951	STAP1
ENSG00000035862	6209	TIMP2
ENSG00000035928	6713	RFC1
ENSG00000036054	5176	TBC1D23
ENSG00000036257	11505	CUL3
ENSG00000036448	7056	MYOM2
ENSG00000036473	3680	OTC
ENSG00000036530	9358	CYP46A1
ENSG00000036549	9008	ZZZ3
ENSG00000036565	3910	SLC18A1
ENSG00000036672	4523	USP2
ENSG00000036828	12020	CASR
ENSG00000037042	2793	TUBG2
ENSG00000037241	1164	RPL26L1
ENSG00000037280	8852	FLT4
ENSG00000037474	5506	NSUN2
ENSG00000037637	9009	FBXO42
ENSG00000037749	10159	MFAP3
ENSG00000037757	3466	MRI1
ENSG00000037897	1947	METTL1
ENSG00000037965	2417	HOXC8
ENSG00000038002	2605	AGA
ENSG00000038210	3685	PI4K2B
ENSG00000038219	15862	BOD1L1
ENSG00000038274	8700	MAT2B
ENSG00000038295	8105	TLL1
ENSG00000038358	6140	EDC4
ENSG00000038382	19917	TRIO
ENSG00000038427	14678	VCAN
ENSG00000038532	12548	CLEC16A
ENSG00000038945	7812	MSR1
ENSG00000039068	6076	CDH1
ENSG00000039123	6347	MTREX
ENSG00000039139	24848	DNAH5
ENSG00000039319	15490	ZFYVE16
ENSG00000039523	6729	RIPOR1
ENSG00000039537	6900	C6
ENSG00000039560	7581	RAI14
ENSG00000039600	3489	SOX30
ENSG00000039650	4545	PNKP
ENSG00000039987	2646	BEST2
ENSG00000040199	12493	PHLPP2
ENSG00000040275	4775	SPDL1
ENSG00000040341	8964	STAU2
ENSG00000040487	2686	SLC66A1
ENSG00000040531	4949	CTNS
ENSG00000040608	3126	RTN4R
ENSG00000040633	2733	PHF23
ENSG00000040731	3660	CDH10
ENSG00000040933	13556	INPP4A
ENSG00000041353	7154	RAB27B
ENSG00000041357	6994	PSMA4
ENSG00000041515	8816	MYO16
ENSG00000041802	4801	LSG1
ENSG00000041880	3198	PARP3
ENSG00000041982	9589	TNC
ENSG00000041988	4067	THAP3
ENSG00000042062	6023	RIPOR3
ENSG00000042088	6223	TDP1
ENSG00000042286	5135	AIFM2
ENSG00000042304	1139	C2orf83
ENSG00000042317	6872	SPATA7
ENSG00000042429	16610	MED17
ENSG00000042445	4049	RETSAT
ENSG00000042493	2419	CAPG
ENSG00000042753	1558	AP2S1
ENSG00000042781	20633	USH2A
ENSG00000042813	2625	ZPBP
ENSG00000042832	11132	TG
ENSG00000042980	9381	ADAM28
ENSG00000043039	3752	BARX2
ENSG00000043093	8307	DCUN1D1
ENSG00000043143	11091	JADE2
ENSG00000043355	3290	ZIC2
ENSG00000043462	6823	LCP2
ENSG00000043514	6533	TRIT1
ENSG00000043591	3039	ADRB1
ENSG00000044012	604	GUCA2B
ENSG00000044090	7873	CUL7
ENSG00000044115	8830	CTNNA1
ENSG00000044446	8547	PHKA2
ENSG00000044459	11064	CNTLN
ENSG00000044524	6577	EPHA3
ENSG00000044574	6530	HSPA5
ENSG00000046604	15150	DSG2
ENSG00000046647	4001	GEMIN8
ENSG00000046651	15550	OFD1
ENSG00000046653	5767	GPM6B
ENSG00000046774	1994	MAGEC2
ENSG00000046889	12132	PREX2
ENSG00000047056	8029	WDR37
ENSG00000047188	10805	YTHDC2
ENSG00000047230	5531	CTPS2
ENSG00000047249	5104	ATP6V1H
ENSG00000047315	5891	POLR2B
ENSG00000047346	9848	ATOSA
ENSG00000047365	12427	ARAP2
ENSG00000047410	12350	TPR
ENSG00000047457	7072	CP
ENSG00000047578	9759	KATNIP
ENSG00000047579	3046	DTNBP1
ENSG00000047597	5174	XK
ENSG00000047617	6058	ANO2
ENSG00000047621	4932	C12orf4
ENSG00000047634	5497	SCML1
ENSG00000047644	7416	WWC3
ENSG00000047648	8893	ARHGAP6
ENSG00000047662	6731	FAM184B
ENSG00000047849	14994	MAP4
ENSG00000047932	4628	GOPC
ENSG00000047936	8890	ROS1
ENSG00000048028	5793	USP28
ENSG00000048052	17284	HDAC9
ENSG00000048140	5215	TSPAN17
ENSG00000048162	2806	NOP16
ENSG00000048342	14588	CC2D2A
ENSG00000048392	5391	RRM2B
ENSG00000048405	5793	ZNF800
ENSG00000048462	1015	TNFRSF17
ENSG00000048471	11299	SNX29
ENSG00000048540	10002	LMO3
ENSG00000048544	2100	MRPS10
ENSG00000048545	2971	GUCA1A
ENSG00000048649	15579	RSF1
ENSG00000048707	20768	VPS13D
ENSG00000048740	11029	CELF2
ENSG00000048828	7246	FAM120A
ENSG00000048991	7892	R3HDM1
ENSG00000049089	4215	COL9A2
ENSG00000049130	6205	KITLG
ENSG00000049167	26458	ERCC8
ENSG00000049192	8565	ADAMTS6
ENSG00000049239	9322	H6PD
ENSG00000049245	2733	VAMP3
ENSG00000049246	8128	PER3
ENSG00000049247	1793	UTS2
ENSG00000049249	6354	TNFRSF9
ENSG00000049283	4503	EPN3
ENSG00000049323	7348	LTBP1
ENSG00000049449	4472	RCN1
ENSG00000049540	6572	ELN
ENSG00000049541	2211	RFC2
ENSG00000049618	45931	ARID1B
ENSG00000049656	6549	CLPTM1L
ENSG00000049759	34097	NEDD4L
ENSG00000049768	2619	FOXP3
ENSG00000049769	4378	PPP1R3F
ENSG00000049860	5015	HEXB
ENSG00000049883	12115	PTCD2
ENSG00000050030	12338	NEXMIF
ENSG00000050130	4350	JKAMP
ENSG00000050165	11958	DKK3
ENSG00000050327	5818	ARHGEF5
ENSG00000050344	4303	NFE2L3
ENSG00000050393	6057	MCUR1
ENSG00000050405	6291	LIMA1
ENSG00000050426	6032	LETMD1
ENSG00000050438	17920	SLC4A8
ENSG00000050555	8939	LAMC3
ENSG00000050628	10287	PTGER3
ENSG00000050730	3749	TNIP3
ENSG00000050748	8955	MAPK9
ENSG00000050767	4359	COL23A1
ENSG00000050820	9199	BCAR1
ENSG00000051009	4726	FHIP1B
ENSG00000051108	5062	HERPUD1
ENSG00000051128	3422	HOMER3
ENSG00000051180	3084	RAD51
ENSG00000051341	9185	POLQ
ENSG00000051382	7841	PIK3CB
ENSG00000051523	4161	CYBA
ENSG00000051596	3449	THOC3
ENSG00000051620	10352	HEBP2
ENSG00000051825	10304	MPHOSPH9
ENSG00000052126	36233	PLEKHA5
ENSG00000052344	2975	PRSS8
ENSG00000052723	5894	SIKE1
ENSG00000052749	8529	RRP12
ENSG00000052795	10981	FNIP2
ENSG00000052802	2852	MSMO1
ENSG00000052841	11296	TTC17
ENSG00000052850	5727	ALX4
ENSG00000053108	6710	FSTL4
ENSG00000053254	11154	FOXN3
ENSG00000053328	3839	METTL24
ENSG00000053371	1779	AKR7A2
ENSG00000053372	2556	MRTO4
ENSG00000053438	1329	NNAT
ENSG00000053501	2431	USE1
ENSG00000053524	20884	MCF2L2
ENSG00000053702	2814	NRIP2
ENSG00000053747	14488	LAMA3
ENSG00000053770	13019	AP5M1
ENSG00000053900	7444	ANAPC4
ENSG00000053918	4920	KCNQ1
ENSG00000054116	3527	TRAPPC3
ENSG00000054118	4720	THRAP3
ENSG00000054148	1612	PHPT1
ENSG00000054179	2640	ENTPD2
ENSG00000054219	8805	LY75
ENSG00000054267	11073	ARID4B
ENSG00000054277	3724	OPN3
ENSG00000054282	5321	SDCCAG8
ENSG00000054356	8228	PTPRN
ENSG00000054392	6645	HHAT
ENSG00000054523	18915	KIF1B
ENSG00000054598	3983	FOXC1
ENSG00000054611	5315	TBC1D22A
ENSG00000054654	32359	SYNE2
ENSG00000054690	10828	PLEKHH1
ENSG00000054793	8073	ATP9A
ENSG00000054796	1823	SPO11
ENSG00000054803	3154	CBLN4
ENSG00000054938	3114	CHRDL2
ENSG00000054965	7887	FAM168A
ENSG00000054967	6187	RELT
ENSG00000054983	6736	GALC
ENSG00000055044	3274	NOP58
ENSG00000055070	4742	SZRD1
ENSG00000055118	7419	KCNH2
ENSG00000055130	4152	CUL1
ENSG00000055147	6523	FAM114A2
ENSG00000055163	10564	CYFIP2
ENSG00000055208	6109	TAB2
ENSG00000055211	2250	GINM1
ENSG00000055332	11036	EIF2AK2
ENSG00000055483	9269	USP36
ENSG00000055609	53322	KMT2C
ENSG00000055732	6624	MCOLN3
ENSG00000055813	4114	CCDC85A
ENSG00000055917	6979	PUM2
ENSG00000055950	3578	MRPL43
ENSG00000055955	4659	ITIH4
ENSG00000055957	4541	ITIH1
ENSG00000056050	1422	HPF1
ENSG00000056097	6771	ZFR
ENSG00000056277	4638	ZNF280C
ENSG00000056291	2499	NPFFR2
ENSG00000056487	6007	PHF21B
ENSG00000056558	4476	TRAF1
ENSG00000056586	11563	RC3H2
ENSG00000056736	3044	IL17RB
ENSG00000056972	12634	TRAF3IP2
ENSG00000056998	3612	GYG2
ENSG00000057019	11280	DCBLD2
ENSG00000057149	1707	SERPINB3
ENSG00000057252	7005	SOAT1
ENSG00000057294	10312	PKP2
ENSG00000057468	3270	MSH4
ENSG00000057593	3799	F7
ENSG00000057608	3918	GDI2
ENSG00000057657	6750	PRDM1
ENSG00000057663	5655	ATG5
ENSG00000057704	6512	TMCC3
ENSG00000057757	2173	PITHD1
ENSG00000057935	10580	MTA3
ENSG00000058056	15296	USP13
ENSG00000058063	9187	ATP11B
ENSG00000058085	6770	LAMC2
