GeneID	length	SYMBOL
ENSMUSG00000001082	2894	Mfsd10
ENSMUSG00000001089	8112	Luzp1
ENSMUSG00000001095	2412	Slc13a2
ENSMUSG00000001098	4039	Kctd10
ENSMUSG00000001100	3783	Poldip2
ENSMUSG00000001103	1359	Sebox
ENSMUSG00000001105	1525	Ift20
ENSMUSG00000001119	4380	Col6a1
ENSMUSG00000001120	2933	Pcbp3
ENSMUSG00000001123	2137	Lgals9
ENSMUSG00000001127	6541	Araf
ENSMUSG00000001128	1736	Cfp
ENSMUSG00000001131	888	Timp1
ENSMUSG00000001134	1639	Uxt
ENSMUSG00000001138	6420	Cnnm3
ENSMUSG00000001143	7359	Lman2l
ENSMUSG00000001150	7197	Mcm3ap
ENSMUSG00000001151	12154	Pcnt
ENSMUSG00000001155	3192	Ftcd
ENSMUSG00000001156	7072	Mxd1
ENSMUSG00000001157	6493	Gmcl1
ENSMUSG00000001158	1837	Snrnp27
ENSMUSG00000001166	2405	Oas1c
ENSMUSG00000001168	1703	Oas1h
ENSMUSG00000001173	9486	Ocrl
ENSMUSG00000001175	4706	Calm1
ENSMUSG00000001211	7790	Agpat3
ENSMUSG00000001225	6369	Slc26a3
ENSMUSG00000001227	3968	Sema6b
ENSMUSG00000001228	4259	Uhrf1
ENSMUSG00000001229	7883	Dpp9
ENSMUSG00000001240	3301	Ramp2
ENSMUSG00000001247	2172	Lsr
ENSMUSG00000001248	5239	Gramd1a
ENSMUSG00000001249	4101	Hpn
ENSMUSG00000001260	7869	Gabrg1
ENSMUSG00000001270	2895	Ckb
ENSMUSG00000001280	8262	Sp1
ENSMUSG00000001281	2770	Itgb7
ENSMUSG00000001285	2823	Myg1
ENSMUSG00000001288	4261	Rarg
ENSMUSG00000001289	1394	Pfdn5
ENSMUSG00000001300	6855	Efnb2
ENSMUSG00000001305	3239	Rrp15
ENSMUSG00000001313	1990	Rnd2
ENSMUSG00000001323	4560	Srr
ENSMUSG00000001333	2862	Sync
ENSMUSG00000001334	3078	Fndc5
ENSMUSG00000001348	2030	Acp5
ENSMUSG00000001349	2736	Cnn1
ENSMUSG00000001366	3103	Fbxo9
ENSMUSG00000001376	10856	Vps50
ENSMUSG00000001380	2447	Hars1
ENSMUSG00000001383	2592	Zmat2
ENSMUSG00000001403	2600	Ube2c
ENSMUSG00000001415	6956	Smg5
ENSMUSG00000001416	6370	Cct3
ENSMUSG00000001418	6291	Glmp
ENSMUSG00000001419	5985	Mef2d
ENSMUSG00000001420	2912	Tmem79
ENSMUSG00000001424	9757	Snd1
ENSMUSG00000001435	7021	Col18a1
ENSMUSG00000001436	4644	Slc19a1
ENSMUSG00000001440	6590	Kpnb1
ENSMUSG00000001441	7206	Npepps
ENSMUSG00000001444	2488	Tbx21
ENSMUSG00000001445	1708	Mrpl10
ENSMUSG00000001467	4415	Cyp51
ENSMUSG00000001472	5390	Tcf25
ENSMUSG00000001473	2437	Tubb6
ENSMUSG00000001482	4408	Def8
ENSMUSG00000001493	2228	Meox1
ENSMUSG00000001494	2066	Sost
ENSMUSG00000001496	2842	Nkx2-1
ENSMUSG00000001497	5056	Pax9
ENSMUSG00000001504	3282	Irx2
ENSMUSG00000001506	6563	Col1a1
ENSMUSG00000001507	5710	Itga3
ENSMUSG00000001508	1735	Sgca
ENSMUSG00000001510	2607	Dlx3
ENSMUSG00000001517	5754	Foxm1
ENSMUSG00000001518	7096	Itfg2
ENSMUSG00000001520	3757	Nrip2
ENSMUSG00000001521	9342	Tulp3
ENSMUSG00000001524	3313	Gtf2h4
ENSMUSG00000001525	3327	Tubb5
ENSMUSG00000001542	9828	Ell2
ENSMUSG00000001552	6436	Jup
ENSMUSG00000001555	2935	Fkbp10
ENSMUSG00000001558	2161	Klhl10
ENSMUSG00000001566	2245	Mnx1
ENSMUSG00000001569	9232	Nom1
ENSMUSG00000001576	8888	Ergic1
ENSMUSG00000001583	3329	Tnk1
ENSMUSG00000001588	4878	Acap1
ENSMUSG00000001604	1400	Tcea3
ENSMUSG00000001622	4152	Csn3
ENSMUSG00000001627	5858	Ifrd1
ENSMUSG00000001630	4880	Stk38l
ENSMUSG00000001632	6779	Brpf1
ENSMUSG00000001642	8384	Akr1b1
ENSMUSG00000001655	2461	Hoxc13
ENSMUSG00000001656	2021	Hoxc11
ENSMUSG00000001657	2832	Hoxc8
ENSMUSG00000001661	2408	Hoxc6
ENSMUSG00000001663	1528	Gstt1
ENSMUSG00000001665	3842	Gstt3
ENSMUSG00000001666	773	Ddt
ENSMUSG00000001670	2405	Tat
ENSMUSG00000001672	3284	Marveld3
ENSMUSG00000001674	2483	Ddx18
ENSMUSG00000001687	8098	Ubl3
ENSMUSG00000001700	5679	Gramd2b
ENSMUSG00000001707	3257	Eef1e1
ENSMUSG00000001729	4098	Akt1
ENSMUSG00000001739	2124	Cldn15
ENSMUSG00000001741	7865	Il16
ENSMUSG00000001750	4603	Tcirg1
ENSMUSG00000001751	2658	Naglu
ENSMUSG00000001755	2867	Coasy
ENSMUSG00000001761	5621	Smo
ENSMUSG00000001763	5195	Tspan33
ENSMUSG00000001767	3844	Crnkl1
ENSMUSG00000001768	11271	Rin2
ENSMUSG00000001773	3210	Folh1
ENSMUSG00000001774	7498	Chordc1
ENSMUSG00000001783	2615	Rtcb
ENSMUSG00000001785	2942	Pwp1
ENSMUSG00000001786	6180	Fbxo7
ENSMUSG00000001794	2477	Capns1
ENSMUSG00000001802	4700	Lrp3
ENSMUSG00000001804	3478	Dsg4
ENSMUSG00000001815	4191	Evx2
ENSMUSG00000001819	2483	Hoxd13
ENSMUSG00000001823	2534	Hoxd12
ENSMUSG00000001827	2297	Folr1
ENSMUSG00000001829	9960	Clpb
ENSMUSG00000001833	11631	Septin7
ENSMUSG00000001844	2864	Zdhhc4
ENSMUSG00000001847	4496	Rac1
ENSMUSG00000001855	9659	Nup214
ENSMUSG00000001864	4032	Aif1l
ENSMUSG00000001865	1517	Cpa3
ENSMUSG00000001870	10691	Ltbp1
ENSMUSG00000001891	3069	Ugp2
ENSMUSG00000001901	3549	Kcnh6
ENSMUSG00000001909	6306	Trmt1
ENSMUSG00000001910	4673	Nacc1
ENSMUSG00000001911	7351	Nfix
ENSMUSG00000001918	4173	Slc1a5
ENSMUSG00000001924	4819	Uba1
ENSMUSG00000001930	16064	Vwf
ENSMUSG00000001942	10497	Siae
ENSMUSG00000001943	1979	Vsig2
ENSMUSG00000001946	2867	Esam
ENSMUSG00000001948	1061	Spa17
ENSMUSG00000001962	2288	Fam50a
ENSMUSG00000001964	2517	Emd
ENSMUSG00000001983	1383	Taco1
ENSMUSG00000001985	8973	Grik3
ENSMUSG00000001986	9859	Gria3
ENSMUSG00000001988	3009	Npas1
ENSMUSG00000001995	9617	Sipa1l2
ENSMUSG00000001998	9810	Ap4e1
ENSMUSG00000001999	2446	Blvra
ENSMUSG00000002006	3970	Pdzd4
ENSMUSG00000002007	2784	Srpk3
ENSMUSG00000002010	2701	Idh3g
ENSMUSG00000002012	1971	Pnck
ENSMUSG00000002014	3096	Ssr4
ENSMUSG00000002015	1219	Bcap31
ENSMUSG00000002017	3564	Fam98a
ENSMUSG00000002020	8184	Ltbp2
ENSMUSG00000002028	16670	Kmt2a
ENSMUSG00000002031	6416	Ift46
ENSMUSG00000002032	3212	Tmem25
ENSMUSG00000002033	3269	Cd3g
ENSMUSG00000002043	1589	Trappc6a
ENSMUSG00000002052	7095	Supt6
ENSMUSG00000002055	5624	Spag5
ENSMUSG00000002057	3214	Foxn1
ENSMUSG00000002058	2448	Unc119
ENSMUSG00000002059	2385	Rab34
ENSMUSG00000002064	1515	Sdf2
ENSMUSG00000002068	2662	Ccne1
ENSMUSG00000002076	3589	Hsf2bp
ENSMUSG00000002083	2124	Bbc3
ENSMUSG00000002100	4163	Mybpc3
ENSMUSG00000002102	2607	Psmc3
ENSMUSG00000002103	5186	Acp2
ENSMUSG00000002104	1802	Rapsn
ENSMUSG00000002105	4869	Slc39a13
ENSMUSG00000002107	25884	Celf2
ENSMUSG00000002108	2515	Nr1h3
ENSMUSG00000002109	2736	Ddb2
ENSMUSG00000002111	2695	Spi1
ENSMUSG00000002129	6147	Sf3a1
ENSMUSG00000002147	4402	Stat6
ENSMUSG00000002190	4025	Clgn
ENSMUSG00000002204	2660	Napsa
ENSMUSG00000002205	6744	Vrk3
ENSMUSG00000002210	3702	Smg9
ENSMUSG00000002221	10271	Paxip1
ENSMUSG00000002222	6783	Rmnd5a
ENSMUSG00000002227	5607	Mov10
ENSMUSG00000002228	1814	Ppm1j
ENSMUSG00000002233	1618	Rhoc
ENSMUSG00000002240	1337	Prr27
ENSMUSG00000002249	6714	Tead3
ENSMUSG00000002250	7514	Ppard
ENSMUSG00000002257	2672	Def6
ENSMUSG00000002265	13616	Peg3
ENSMUSG00000002266	8086	Zim1
ENSMUSG00000002274	3718	Metrn
ENSMUSG00000002279	13589	Lmf1
ENSMUSG00000002280	6223	Ciao3
ENSMUSG00000002289	3541	Angptl4
ENSMUSG00000002297	8728	Dbf4
ENSMUSG00000002307	3151	Daxx
ENSMUSG00000002308	2883	Cd320
ENSMUSG00000002319	4669	Ipo4
ENSMUSG00000002320	3880	Tm9sf1
ENSMUSG00000002324	2935	Rec8
ENSMUSG00000002325	5386	Irf9
ENSMUSG00000002326	3925	Gmpr2
ENSMUSG00000002329	2032	Mdp1
ENSMUSG00000002332	2760	Dhrs1
ENSMUSG00000002341	7195	Ncan
ENSMUSG00000002342	3673	Tmem161a
ENSMUSG00000002343	3262	Armc6
ENSMUSG00000002345	1468	Borcs8
ENSMUSG00000002346	5996	Slc25a42
ENSMUSG00000002365	3617	Snx9
ENSMUSG00000002372	6960	Ranbp3
ENSMUSG00000002379	1092	Ndufa11
ENSMUSG00000002384	3880	Bmp8b
ENSMUSG00000002393	2983	Nr2f6
ENSMUSG00000002395	2203	Use1
ENSMUSG00000002396	7133	Ocel1
ENSMUSG00000002409	2695	Dyrk1b
ENSMUSG00000002413	13862	Braf
ENSMUSG00000002416	5628	Ndufb2
ENSMUSG00000002428	5931	Hltf
ENSMUSG00000002455	3859	Prpf6
ENSMUSG00000002458	2230	Rgs19
ENSMUSG00000002459	4239	Rgs20
ENSMUSG00000002475	2334	Abhd3
ENSMUSG00000002477	2052	Snrpd1
ENSMUSG00000002486	7397	Tchp
ENSMUSG00000002489	10048	Tiam1
ENSMUSG00000002496	9620	Tsc2
ENSMUSG00000002500	1643	Rpl3l
ENSMUSG00000002504	2646	Nherf2
ENSMUSG00000002524	4748	Puf60
ENSMUSG00000002546	5500	Golga2
ENSMUSG00000002550	2751	Uck1
ENSMUSG00000002565	2999	Scin
ENSMUSG00000002578	6461	Ikzf4
ENSMUSG00000002580	747	Mien1
ENSMUSG00000002588	2898	Pon1
ENSMUSG00000002602	5033	Axl
ENSMUSG00000002603	5042	Tgfb1
ENSMUSG00000002608	3939	Ccdc97
ENSMUSG00000002617	4482	Zfp40
ENSMUSG00000002625	5073	Akap8l
ENSMUSG00000002633	2847	Shh
ENSMUSG00000002635	1549	Pdcd2l
ENSMUSG00000002658	1717	Gtf2f1
ENSMUSG00000002660	1223	Clpp
ENSMUSG00000002661	1029	Alkbh7
ENSMUSG00000002664	474	Pspn
ENSMUSG00000002668	5109	Dennd1c
ENSMUSG00000002679	1447	Med6
ENSMUSG00000002688	3653	Prkd1
ENSMUSG00000002699	4459	Lcp2
ENSMUSG00000002718	5273	Cse1l
ENSMUSG00000002728	3705	Naa20
ENSMUSG00000002731	2028	Prkra
ENSMUSG00000002732	1485	Fkbp7
ENSMUSG00000002733	3126	Plekha3
ENSMUSG00000002741	2984	Ykt6
ENSMUSG00000002748	13667	Baz1b
ENSMUSG00000002763	3796	Pex6
ENSMUSG00000002767	1170	Mrpl2
ENSMUSG00000002768	1844	Mea1
ENSMUSG00000002769	1206	Gnmt
ENSMUSG00000002771	6658	Grin2d
ENSMUSG00000002778	1874	Kdelr1
ENSMUSG00000002781	7518	Tmem143
ENSMUSG00000002791	950	Pdxk-ps
ENSMUSG00000002797	7745	Ggct
ENSMUSG00000002799	6965	Jag2
ENSMUSG00000002803	2324	Btbd6
ENSMUSG00000002804	1587	Nudt14
ENSMUSG00000002808	2745	Epdr1
ENSMUSG00000002812	5039	Flii
ENSMUSG00000002814	4599	Top3a
ENSMUSG00000002820	7264	Atg4d
ENSMUSG00000002825	1973	Qtrt1
ENSMUSG00000002831	6350	Plin4
ENSMUSG00000002833	4876	Hdgfl2
ENSMUSG00000002835	8854	Chaf1a
ENSMUSG00000002844	2966	Adprh
ENSMUSG00000002845	4094	Tmem39a
ENSMUSG00000002846	1784	Timmdc1
ENSMUSG00000002847	2009	Pla1a
ENSMUSG00000002870	6956	Mcm2
ENSMUSG00000002871	4171	Tpra1
ENSMUSG00000002881	4100	Nab1
ENSMUSG00000002885	3757	Adgre5
ENSMUSG00000002897	8662	Il17ra
ENSMUSG00000002900	9917	Lamb1
ENSMUSG00000002908	4575	Kcnn1
ENSMUSG00000002910	3232	Arrdc2
ENSMUSG00000002930	1757	Ppp1r17
ENSMUSG00000002944	3590	Cd36
ENSMUSG00000002948	3829	Map2k7
ENSMUSG00000002949	3664	Timm44
ENSMUSG00000002957	5663	Ap2a2
ENSMUSG00000002963	3250	Pnkp
ENSMUSG00000002968	7629	Med25
ENSMUSG00000002980	3199	Bcam
ENSMUSG00000002981	6210	Clptm1
ENSMUSG00000002983	3883	Relb
ENSMUSG00000002984	4513	Tomm40
ENSMUSG00000002985	2138	Apoe
ENSMUSG00000002992	813	Apoc2
ENSMUSG00000002996	6167	Hbp1
ENSMUSG00000002997	3652	Prkar2b
ENSMUSG00000003031	4552	Cdkn1b
ENSMUSG00000003032	3049	Klf4
ENSMUSG00000003033	3184	Ap1m1
ENSMUSG00000003037	4678	Rab8a
ENSMUSG00000003038	3060	Hmgn2
ENSMUSG00000003039	4409	Fam32a
ENSMUSG00000003051	2217	Elf3
ENSMUSG00000003053	3061	Cyp2c29
ENSMUSG00000003062	5600	Stard3nl
ENSMUSG00000003068	4580	Stk11
ENSMUSG00000003070	2131	Efna2
ENSMUSG00000003072	1928	Atp5f1d
ENSMUSG00000003099	3136	Ppp5c
ENSMUSG00000003119	11730	Cdk12
ENSMUSG00000003123	5886	Lipe
ENSMUSG00000003131	8266	Pafah1b2
ENSMUSG00000003134	5239	Tbc1d8
ENSMUSG00000003135	3508	Cnot11
ENSMUSG00000003153	7245	Slc2a3
ENSMUSG00000003154	5346	Foxj2
ENSMUSG00000003161	4852	Sri
ENSMUSG00000003166	6853	Dgcr2
ENSMUSG00000003184	3442	Irf3
ENSMUSG00000003190	1976	Bcl2l12
ENSMUSG00000003198	2448	Zfp959
ENSMUSG00000003199	2305	Mpnd
ENSMUSG00000003200	5012	Sh3gl1
ENSMUSG00000003206	1154	Ebi3
ENSMUSG00000003208	4956	Yju2
ENSMUSG00000003226	11728	Ranbp2
ENSMUSG00000003227	3637	Edar
ENSMUSG00000003228	7055	Grk5
ENSMUSG00000003233	6410	Dvl3
ENSMUSG00000003234	3558	Abcf3
ENSMUSG00000003235	2595	Eif2b5
ENSMUSG00000003269	3440	Cyth2
ENSMUSG00000003271	3950	Sult2b1
ENSMUSG00000003273	1926	Car11
ENSMUSG00000003279	17890	Dlgap1
ENSMUSG00000003282	8487	Plag1
ENSMUSG00000003283	2092	Hck
ENSMUSG00000003299	2617	Mrpl4
ENSMUSG00000003308	4693	Keap1
ENSMUSG00000003309	3140	Ap1m2
ENSMUSG00000003316	7090	Glg1
ENSMUSG00000003341	4713	Atp8b3
ENSMUSG00000003344	3009	Btbd2
ENSMUSG00000003345	4835	Csnk1g2
ENSMUSG00000003346	1547	Abhd17a
ENSMUSG00000003348	3254	Mob3a
ENSMUSG00000003352	4010	Cacnb3
ENSMUSG00000003354	1992	Ccdc65
ENSMUSG00000003355	2706	Fkbp11
ENSMUSG00000003360	6229	Ddx23
ENSMUSG00000003363	2924	Pld3
ENSMUSG00000003378	5168	Grik5
ENSMUSG00000003379	1457	Cd79a
ENSMUSG00000003380	1523	Rabac1
ENSMUSG00000003382	10274	Etv3
ENSMUSG00000003402	4275	Prkcsh
ENSMUSG00000003410	6890	Elavl3
ENSMUSG00000003411	3524	Rab3b
ENSMUSG00000003418	7664	St8sia6
ENSMUSG00000003420	2102	Fcgrt
ENSMUSG00000003421	2800	Nosip
ENSMUSG00000003423	2020	Pih1d1
ENSMUSG00000003429	865	Rps11
ENSMUSG00000003435	5764	Supt5
ENSMUSG00000003436	2850	Dll3
ENSMUSG00000003437	3438	Paf1
ENSMUSG00000003438	2684	Timm50
ENSMUSG00000003444	1281	Med29
ENSMUSG00000003452	27373	Bicd1
ENSMUSG00000003458	3975	Ncstn
ENSMUSG00000003464	3815	Pex19
ENSMUSG00000003469	2910	Phyhip
ENSMUSG00000003476	5115	Crhr2
ENSMUSG00000003477	1600	Inmt
ENSMUSG00000003484	1855	Cyp4f18
ENSMUSG00000003500	3294	Impdh1
ENSMUSG00000003505	3232	Psg18
ENSMUSG00000003518	4682	Dusp3
ENSMUSG00000003526	7797	Prodh
ENSMUSG00000003527	4231	Ess2
ENSMUSG00000003528	2164	Slc25a1
ENSMUSG00000003531	2985	Dgcr6
ENSMUSG00000003534	4774	Ddr1
ENSMUSG00000003541	1131	Ier3
ENSMUSG00000003545	6243	Fosb
ENSMUSG00000003546	2377	Klc4
ENSMUSG00000003549	3111	Ercc1
ENSMUSG00000003555	2769	Cyp17a1
ENSMUSG00000003559	3212	As3mt
ENSMUSG00000003573	3440	Homer3
ENSMUSG00000003575	11182	Crtc1
ENSMUSG00000003581	2232	Rnf215
ENSMUSG00000003585	3505	Sec14l2
ENSMUSG00000003604	5001	Aven
ENSMUSG00000003617	9566	Cp
ENSMUSG00000003623	5456	Crot
ENSMUSG00000003644	4258	Rps6ka1
ENSMUSG00000003657	1743	Calb2
ENSMUSG00000003660	7819	Snrnp200
ENSMUSG00000003662	3197	Ciao1
ENSMUSG00000003665	4518	Has1
ENSMUSG00000003680	5017	Taf6l
ENSMUSG00000003721	3473	Insig2
ENSMUSG00000003731	6729	Kpna6
ENSMUSG00000003746	9647	Man1a
ENSMUSG00000003752	5285	Itpkc
ENSMUSG00000003762	5586	Coq8b
ENSMUSG00000003778	10633	Brd8
ENSMUSG00000003779	4338	Kif20a
ENSMUSG00000003808	4538	Farsa
ENSMUSG00000003809	2754	Gcdh
ENSMUSG00000003810	8140	Mast2
ENSMUSG00000003812	5389	Dnase2a
ENSMUSG00000003813	2577	Rad23a
ENSMUSG00000003814	2880	Calr
ENSMUSG00000003824	1968	Syce2
ENSMUSG00000003847	18378	Nfat5
ENSMUSG00000003848	3486	Nob1
ENSMUSG00000003849	1553	Nqo1
ENSMUSG00000003863	7899	Ppfia3
ENSMUSG00000003865	4789	Gys1
ENSMUSG00000003868	2902	Ruvbl2
ENSMUSG00000003872	1463	Lin7b
ENSMUSG00000003873	1576	Bax
ENSMUSG00000003882	4663	Il7r
ENSMUSG00000003923	4438	Tfam
ENSMUSG00000003929	6790	Zfp81
ENSMUSG00000003934	3183	Efnb3
ENSMUSG00000003948	3581	Mmd
ENSMUSG00000003949	6681	Hlf
ENSMUSG00000003955	850	Fam162a
ENSMUSG00000003970	1359	Rpl8
ENSMUSG00000003974	3049	Grm3
ENSMUSG00000003992	7985	Ssbp2
ENSMUSG00000004018	3372	Fancl
ENSMUSG00000004031	8767	Brinp2
ENSMUSG00000004032	1278	Gstm5
ENSMUSG00000004035	1601	Gstm7
ENSMUSG00000004038	1311	Gstm3
ENSMUSG00000004040	9527	Stat3
ENSMUSG00000004043	7133	Stat5a
ENSMUSG00000004044	3587	Cavin1
ENSMUSG00000004054	4393	Map3k11
ENSMUSG00000004056	7131	Akt2
ENSMUSG00000004069	3912	Dnaja3
ENSMUSG00000004070	2217	Hmox2
ENSMUSG00000004071	10094	Cdip1
ENSMUSG00000004085	10175	Map3k20
ENSMUSG00000004096	1571	Cwc15
