GeneID	GSM3021797	GSM3021798	GSM3021799	GSM3021800	GSM3021801	GSM3021802
ENSG00000225880	13	22	18	12	8	12
ENSG00000228794	234	335	292	283	207	311
ENSG00000288531	3	0	0	3	2	0
ENSG00000230368	0	0	0	0	0	0
ENSG00000234711	0	4	0	1	0	0
ENSG00000283040	0	0	0	0	0	0
ENSG00000272438	123	176	87	125	134	128
ENSG00000223764	124	240	134	178	192	222
ENSG00000187634	47	107	56	70	68	77
ENSG00000188976	1154	1231	1159	1246	1214	1209
ENSG00000187961	273	325	255	352	324	351
ENSG00000187583	0	0	0	0	0	1
ENSG00000187642	0	1	0	2	0	0
ENSG00000272512	109	117	113	127	100	140
ENSG00000188290	851	888	818	540	437	637
ENSG00000187608	90	100	93	55	54	74
ENSG00000231702	1	0	0	1	1	1
ENSG00000224969	22	10	16	20	18	25
ENSG00000188157	2422	3194	2562	2021	1844	1820
ENSG00000242590	0	0	0	0	0	0
ENSG00000291156	19	24	20	19	16	13
ENSG00000273443	0	0	0	2	0	1
ENSG00000217801	5	9	6	0	3	3
ENSG00000237330	0	0	0	2	2	0
ENSG00000131591	362	488	367	427	353	338
ENSG00000285812	0	0	1	1	6	5
ENSG00000223823	0	0	0	0	1	0
ENSG00000207730	0	0	0	0	0	0
ENSG00000207607	0	0	0	0	0	0
ENSG00000198976	0	0	0	0	0	0
ENSG00000272141	0	0	0	0	0	0
ENSG00000205231	0	9	3	2	7	2
ENSG00000162571	1	17	9	13	35	11
ENSG00000186891	1	0	0	3	0	0
ENSG00000186827	0	0	0	0	0	0
ENSG00000078808	1411	1743	1490	1452	1624	1533
ENSG00000176022	230	310	293	364	356	396
ENSG00000184163	13	16	12	5	4	5
ENSG00000260179	6	10	5	7	5	3
ENSG00000160087	516	616	525	645	597	731
ENSG00000230415	0	10	7	14	2	2
ENSG00000162572	171	176	107	141	143	124
ENSG00000131584	2291	3287	2259	2719	2473	2901
ENSG00000278073	0	0	0	0	0	0
ENSG00000169972	89	102	89	130	93	80
ENSG00000127054	1846	2040	1730	1755	1752	1688
ENSG00000283712	0	0	0	0	0	0
ENSG00000240731	44	54	42	49	84	54
ENSG00000224051	180	245	157	206	184	210
ENSG00000169962	22	12	23	14	20	22
ENSG00000107404	768	921	745	799	724	744
ENSG00000284372	0	0	0	0	0	0
ENSG00000162576	174	259	174	172	212	155
ENSG00000175756	680	887	847	769	640	646
ENSG00000223663	0	3	0	1	0	1
ENSG00000221978	5628	6290	4464	4951	5137	5802
ENSG00000224870	288	408	265	363	271	318
ENSG00000242485	536	627	525	727	680	712
ENSG00000264293	0	0	0	0	0	0
ENSG00000272455	66	92	77	60	68	51
ENSG00000235098	16	15	26	12	20	8
ENSG00000225905	3	0	1	4	3	0
ENSG00000205116	22	22	25	18	21	16
ENSG00000225285	7	4	0	2	0	0
ENSG00000179403	82	81	88	70	81	55
ENSG00000215915	8	12	1	2	1	2
ENSG00000160072	465	481	402	493	469	449
ENSG00000290916	0	0	1	2	1	1
ENSG00000284740	0	0	0	0	0	0
ENSG00000197785	244	229	230	315	252	285
ENSG00000205090	145	206	162	185	139	128
ENSG00000160075	1724	1989	1910	1896	2123	2142
ENSG00000215014	29	22	17	20	12	25
ENSG00000274481	0	0	0	0	0	0
ENSG00000228594	194	222	235	233	236	193
ENSG00000286989	26	50	29	18	46	26
ENSG00000272106	510	582	547	477	496	458
ENSG00000197530	473	737	492	551	518	448
ENSG00000189409	3	1	1	0	0	0
ENSG00000248333	654	687	646	629	672	696
ENSG00000272004	0	1	0	0	4	0
ENSG00000189339	1520	1871	1648	2035	2043	2416
ENSG00000293187	23	13	16	12	25	21
ENSG00000269737	2	2	1	1	5	1
ENSG00000215914	0	1	1	0	0	1
ENSG00000008128	47	36	39	57	51	53
ENSG00000268575	8	22	15	24	11	19
ENSG00000293188	168	212	143	184	221	205
ENSG00000290854	84	52	57	67	58	70
ENSG00000215790	0	0	0	0	0	0
ENSG00000227775	0	0	0	0	0	0
ENSG00000008130	791	796	695	738	787	641
ENSG00000078369	9294	9668	9940	9047	9146	10550
ENSG00000231050	8	7	7	6	10	8
ENSG00000169885	8	3	3	12	4	1
ENSG00000178821	49	34	38	41	37	33
ENSG00000142609	16	77	34	48	100	80
ENSG00000233542	1	1	4	4	5	2
ENSG00000187730	45	41	45	63	51	43
ENSG00000226969	0	0	0	0	0	0
ENSG00000067606	490	539	538	533	605	651
ENSG00000271806	0	8	0	1	2	1
ENSG00000182873	148	132	154	139	135	131
ENSG00000162585	275	389	268	431	357	386
ENSG00000234396	0	0	0	2	0	0
ENSG00000157933	1050	976	866	1108	1079	1177
ENSG00000287356	28	57	34	12	20	17
ENSG00000116151	110	157	125	112	119	134
ENSG00000272161	0	4	1	1	0	1
ENSG00000292993	50	35	40	79	72	67
ENSG00000269896	0	0	0	0	0	0
ENSG00000272420	9	6	4	2	6	12
ENSG00000157916	801	775	790	846	808	980
ENSG00000157911	219	272	255	209	197	190
ENSG00000149527	28	45	46	13	14	2
ENSG00000224387	0	0	0	0	2	0
ENSG00000229393	0	0	1	0	0	1
ENSG00000157881	97	89	80	94	134	57
ENSG00000197921	80	186	123	98	105	144
ENSG00000272449	2	1	1	2	0	3
ENSG00000238164	0	0	0	0	1	0
ENSG00000157873	0	1	0	0	0	0
ENSG00000225931	0	0	0	0	1	0
ENSG00000228037	0	0	0	0	0	0
ENSG00000289610	0	0	0	0	0	0
ENSG00000157870	76	175	75	67	82	51
ENSG00000142606	3	13	4	0	3	1
ENSG00000237058	1	3	0	0	0	0
ENSG00000215912	5	12	5	5	10	13
ENSG00000285945	0	0	0	0	0	0
ENSG00000283259	0	0	0	0	0	0
ENSG00000233234	0	0	0	0	0	0
ENSG00000287396	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	0
ENSG00000284745	0	0	0	0	0	0
ENSG00000169717	0	0	0	0	0	0
ENSG00000177133	258	875	400	655	991	653
ENSG00000142611	335	637	543	593	662	508
ENSG00000283572	0	0	0	0	0	0
ENSG00000226286	0	0	0	0	0	0
ENSG00000279839	1	2	4	2	0	2
ENSG00000272235	0	5	0	7	11	7
ENSG00000287828	0	5	7	6	15	3
ENSG00000286518	0	1	0	2	3	4
ENSG00000130762	37	45	20	40	50	26
ENSG00000272088	0	2	1	1	0	0
ENSG00000162591	650	602	479	417	421	344
ENSG00000207776	0	0	0	0	0	0
ENSG00000238260	15	10	14	10	21	9
ENSG00000158109	376	419	592	407	401	404
ENSG00000116213	592	583	522	537	590	620
ENSG00000078900	35	119	79	90	136	90
ENSG00000227589	0	0	0	2	1	1
ENSG00000235131	1	0	0	0	0	0
ENSG00000293478	379	399	343	445	419	477
ENSG00000276189	0	0	0	0	0	0
ENSG00000227372	0	0	0	0	0	0
ENSG00000162592	2	5	4	1	1	2
ENSG00000235169	3	3	4	3	9	3
ENSG00000130764	904	898	835	1037	954	913
ENSG00000266075	1	1	0	4	1	1
ENSG00000272153	18	7	9	20	15	13
ENSG00000116198	334	401	373	344	372	423
ENSG00000169598	161	138	123	233	174	147
ENSG00000198912	400	322	294	322	331	321
ENSG00000236423	0	5	1	1	0	3
ENSG00000233304	2	2	0	0	0	2
ENSG00000226374	0	0	0	0	0	0
ENSG00000284668	0	0	0	0	0	0
ENSG00000284703	0	0	0	0	0	0
ENSG00000229280	0	0	0	0	0	0
ENSG00000235054	1	0	0	0	0	0
ENSG00000284694	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0
ENSG00000232596	0	0	0	5	1	2
ENSG00000196581	383	763	549	334	410	464
ENSG00000287586	1	0	0	0	1	0
ENSG00000284739	0	0	0	0	0	0
ENSG00000284674	0	0	0	0	0	1
ENSG00000231510	0	0	0	0	0	0
ENSG00000284616	0	0	0	0	0	0
ENSG00000284692	0	4	4	2	0	1
ENSG00000284666	0	0	0	0	0	0
ENSG00000260972	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0
ENSG00000236948	0	0	0	0	0	1
ENSG00000264341	0	0	0	0	0	0
ENSG00000289893	0	0	0	0	0	0
ENSG00000264101	0	0	0	0	0	0
ENSG00000131697	581	673	495	673	755	624
ENSG00000069424	432	401	368	265	319	300
ENSG00000116254	503	510	454	570	543	462
ENSG00000285629	0	0	0	0	0	0
ENSG00000116251	3228	2957	3368	3053	2797	2928
ENSG00000226944	2	4	3	1	0	1
ENSG00000158286	85	62	53	51	101	79
ENSG00000116237	848	829	964	1059	1025	866
ENSG00000225077	3	1	6	7	3	4
ENSG00000173673	2	7	5	0	1	8
ENSG00000158292	596	1105	854	606	489	684
ENSG00000097021	1681	2197	2097	2041	1922	2212
ENSG00000271746	2	6	3	2	0	4
ENSG00000069812	2	2	6	3	1	0
ENSG00000187017	3	21	13	2	0	17
ENSG00000265392	0	0	0	0	0	0
ENSG00000231868	0	0	0	0	0	0
ENSG00000215788	315	372	216	236	263	250
ENSG00000171680	679	740	509	374	439	334
ENSG00000162408	378	296	309	433	340	412
ENSG00000253022	0	0	0	0	0	0
ENSG00000229519	10	7	10	17	1	4
ENSG00000173662	0	3	2	3	2	0
ENSG00000204859	382	385	366	386	391	466
ENSG00000162413	287	261	272	347	364	323
ENSG00000116273	534	375	438	338	380	350
ENSG00000041988	364	370	395	365	333	361
ENSG00000007923	801	737	744	850	916	948
ENSG00000228750	0	0	0	0	0	1
ENSG00000284744	0	1	0	0	0	0
ENSG00000237436	11	12	8	14	9	11
ENSG00000171735	1171	1236	1190	1442	1412	1739
ENSG00000227950	0	0	3	0	0	0
ENSG00000237365	0	0	0	0	0	0
ENSG00000207056	0	0	0	0	0	0
ENSG00000237402	1	8	11	0	1	5
ENSG00000237728	0	0	0	0	0	0
ENSG00000225126	0	0	0	0	1	0
ENSG00000270171	94	114	111	113	96	155
ENSG00000270035	26	32	28	36	21	31
ENSG00000269978	40	43	33	57	46	72
ENSG00000049245	351	391	308	392	345	405
ENSG00000269925	5	7	4	5	2	7
ENSG00000049246	138	118	96	104	87	62
ENSG00000236266	1	1	0	0	0	1
ENSG00000049247	0	0	0	0	1	0
ENSG00000049249	0	0	1	0	0	0
ENSG00000270330	0	0	0	0	0	0
ENSG00000116288	2842	3121	3345	3463	3435	3225
ENSG00000200344	0	0	0	3	2	2
ENSG00000284747	1	2	0	4	10	9
ENSG00000284716	1	0	0	0	0	0
ENSG00000116285	392	526	440	456	448	558
ENSG00000238290	0	2	0	3	3	2
ENSG00000232848	1	0	0	0	1	0
ENSG00000229305	0	0	0	0	0	0
ENSG00000288816	0	0	0	0	0	0
ENSG00000227634	0	0	0	0	0	0
ENSG00000200975	0	0	0	0	0	0
ENSG00000233645	0	0	0	0	0	0
ENSG00000251977	0	0	0	0	0	0
ENSG00000162426	149	163	126	118	113	113
ENSG00000252254	0	6	0	0	1	0
ENSG00000142599	2381	3167	2777	2475	2402	3129
ENSG00000232912	4	0	2	4	0	1
ENSG00000221083	1	0	0	1	1	2
ENSG00000270282	3	2	0	0	0	0
ENSG00000234619	0	2	0	0	0	1
ENSG00000224315	1	1	0	1	1	1
ENSG00000222511	0	0	0	0	0	1
ENSG00000226545	0	0	1	0	1	0
ENSG00000228423	0	0	1	0	0	0
ENSG00000229716	0	0	0	0	0	0
ENSG00000074800	11296	9560	11031	8863	9094	8724
ENSG00000274258	0	0	0	0	0	0
ENSG00000230679	4	2	5	0	1	5
ENSG00000201725	0	0	0	0	0	0
ENSG00000238249	0	2	0	2	0	0
ENSG00000232208	0	0	1	0	0	0
ENSG00000232663	0	0	0	0	0	0
ENSG00000131686	0	0	0	0	1	0
ENSG00000290109	0	0	0	0	0	0
ENSG00000265141	0	0	0	0	0	0
ENSG00000197241	0	0	0	0	0	0
ENSG00000142583	0	10	4	6	10	13
ENSG00000252404	0	0	0	0	0	0
ENSG00000180758	54	49	40	22	18	26
ENSG00000228526	232	205	155	149	155	141
ENSG00000284357	0	0	0	0	0	0
ENSG00000289914	0	0	0	0	0	0
ENSG00000234546	28	25	25	38	22	15
ENSG00000049239	973	758	804	751	896	874
ENSG00000171621	29	49	48	10	17	53
ENSG00000284652	1	13	17	3	5	5
ENSG00000284693	14	27	20	29	8	17
ENSG00000252956	0	0	0	0	0	0
ENSG00000235263	0	0	0	0	0	0
ENSG00000171612	309	259	279	355	317	413
ENSG00000231181	4	7	3	8	7	10
ENSG00000188807	363	455	376	453	417	529
ENSG00000171608	182	156	189	117	93	152
ENSG00000179840	0	0	0	0	0	0
ENSG00000233268	0	0	0	0	0	0
ENSG00000231789	9	8	25	9	10	7
ENSG00000171603	4848	6234	5439	5071	5012	5534
ENSG00000271264	0	0	0	0	1	0
ENSG00000280113	0	0	1	0	1	1
ENSG00000178585	1109	1312	1100	1004	844	1027
ENSG00000223989	0	0	0	0	0	0
ENSG00000285701	1	3	1	1	0	0
ENSG00000162441	674	571	630	665	665	698
ENSG00000228150	2	0	2	8	3	1
ENSG00000173614	102	115	132	129	142	136
ENSG00000202415	0	1	0	0	0	0
ENSG00000283611	3	0	1	3	0	0
ENSG00000265521	0	0	0	0	0	0
ENSG00000241326	0	0	0	0	0	0
ENSG00000162444	11	2	1	3	4	4
ENSG00000130939	1271	1233	1237	1149	1183	1402
ENSG00000224340	0	0	0	0	0	0
ENSG00000233623	0	0	0	1	0	1
ENSG00000201746	0	0	0	1	0	1
ENSG00000054523	5850	5762	5540	6004	4698	5697
ENSG00000264881	0	0	0	0	0	0
ENSG00000199562	3	3	2	4	0	2
ENSG00000264501	0	0	0	0	0	0
ENSG00000284735	34	25	24	24	15	18
ENSG00000284642	90	88	56	61	61	72
ENSG00000142657	5827	6696	6734	6866	6378	7071
ENSG00000271989	0	0	0	2	0	3
ENSG00000251503	1	0	1	1	0	1
ENSG00000175279	20	14	7	31	6	29
ENSG00000241563	11	8	3	17	12	7
ENSG00000160049	632	645	615	739	684	727
ENSG00000203469	0	0	0	0	0	0
ENSG00000142655	279	410	341	291	247	321
ENSG00000287727	0	4	0	0	0	1
ENSG00000243267	0	1	0	0	0	0
ENSG00000130940	89	138	125	101	94	229
ENSG00000272078	10	14	13	14	11	17
ENSG00000225158	0	0	0	0	0	0
ENSG00000175262	0	2	0	3	0	0
ENSG00000215785	0	0	0	0	0	0
ENSG00000120948	2935	2615	2627	3125	2776	2992
ENSG00000009724	114	106	105	113	94	124
ENSG00000116649	1378	1443	1439	1421	1639	1515
ENSG00000230337	28	21	14	24	31	40
ENSG00000171824	1162	1074	1087	1336	1250	1377
ENSG00000198793	1636	1646	1457	1890	1755	1847
ENSG00000225602	0	2	0	0	0	0
ENSG00000253086	0	0	0	0	0	1
ENSG00000171819	0	2	1	1	3	1
ENSG00000207451	0	0	0	0	0	1
ENSG00000238173	0	0	0	0	0	0
ENSG00000120942	460	387	416	464	405	478
ENSG00000238199	0	0	0	0	0	0
ENSG00000284646	6	7	4	0	1	1
ENSG00000224338	0	0	0	0	0	0
ENSG00000204624	816	1219	907	840	829	967
ENSG00000285833	0	0	0	2	0	0
ENSG00000235643	0	0	1	3	1	2
ENSG00000284708	0	1	1	1	0	1
ENSG00000116661	30	61	62	18	18	20
ENSG00000132879	840	1016	743	756	811	833
ENSG00000116670	2200	2273	2285	1837	2106	1958
ENSG00000116663	21	11	15	31	16	28
ENSG00000162490	3703	5747	5364	2815	2110	4114
ENSG00000177674	303	371	380	341	416	391
ENSG00000215910	2	0	0	1	0	0
ENSG00000177553	0	0	0	0	0	0
ENSG00000177000	797	837	783	745	825	794
ENSG00000011021	1462	1234	1169	1406	1205	1385
ENSG00000276470	0	0	0	0	0	0
ENSG00000278852	0	0	0	0	0	0
ENSG00000175206	4	17	10	11	14	8
ENSG00000275915	0	0	0	0	0	0
ENSG00000120937	0	1	0	0	0	4
ENSG00000224904	0	0	3	1	0	0
ENSG00000285646	11	15	26	15	6	12
ENSG00000199347	0	0	0	0	0	0
ENSG00000201801	0	0	0	0	0	0
ENSG00000116685	485	538	562	427	357	452
ENSG00000083444	491	546	541	493	718	528
ENSG00000287384	0	0	0	0	0	0
ENSG00000116688	2043	1960	1869	1865	1692	1758
ENSG00000270914	1	0	0	0	0	0
ENSG00000116691	592	591	513	606	552	508
ENSG00000202461	0	0	0	0	1	3
ENSG00000276869	0	0	0	0	0	0
ENSG00000243539	0	0	0	0	0	0
ENSG00000120949	0	0	0	0	1	0
ENSG00000201135	0	0	0	0	0	0
ENSG00000227875	0	0	0	0	0	0
ENSG00000285604	0	0	0	0	0	0
ENSG00000283789	0	0	0	0	0	0
ENSG00000028137	2	1	1	1	0	1
ENSG00000263676	0	0	0	0	0	0
ENSG00000225196	2	5	0	1	1	2
ENSG00000252969	0	0	0	0	0	0
ENSG00000048707	816	795	717	851	813	835
ENSG00000239149	3	3	1	0	3	2
ENSG00000229484	0	1	0	0	1	4
ENSG00000162496	418	317	276	506	326	299
ENSG00000221340	0	0	0	0	0	2
ENSG00000276830	0	1	0	1	0	0
ENSG00000288927	0	1	1	3	0	2
ENSG00000204518	0	0	0	0	0	0
ENSG00000226166	0	0	0	0	0	0
ENSG00000188984	0	0	0	0	0	0
ENSG00000157330	19	43	27	48	89	94
ENSG00000116726	1	1	0	0	3	2
ENSG00000116721	0	0	0	0	0	0
ENSG00000228338	0	0	0	0	0	0
ENSG00000239810	0	0	0	0	0	0
ENSG00000231103	0	0	0	0	0	0
ENSG00000179172	0	0	0	0	0	0
ENSG00000120952	0	0	0	0	0	0
ENSG00000243073	0	0	0	0	0	0
ENSG00000187545	0	0	0	0	0	0
ENSG00000204510	0	0	0	0	0	0
ENSG00000207434	0	0	0	0	0	0
ENSG00000234064	0	0	0	0	0	0
ENSG00000232423	0	0	0	0	0	0
ENSG00000274178	0	0	0	0	0	0
ENSG00000274764	0	0	0	0	0	0
ENSG00000277058	0	0	0	0	0	0
ENSG00000229571	0	0	0	0	0	0
ENSG00000277862	0	0	0	0	0	0
ENSG00000236179	0	0	0	0	0	0
ENSG00000275774	0	0	0	0	0	0
ENSG00000229978	0	0	0	0	0	0
ENSG00000290772	0	0	0	0	0	0
ENSG00000233336	0	0	0	0	0	0
ENSG00000280267	0	0	0	0	0	0
ENSG00000179412	0	0	0	0	0	0
ENSG00000204505	0	0	0	0	0	0
ENSG00000279169	0	0	0	0	0	0
ENSG00000279804	0	0	0	0	0	0
ENSG00000250894	0	0	0	0	0	0
ENSG00000270601	0	0	0	0	0	0
ENSG00000231219	0	0	0	0	0	0
ENSG00000207511	0	0	0	0	0	0
ENSG00000182330	0	0	0	0	0	0
ENSG00000237700	0	0	0	0	0	0
ENSG00000204501	0	0	0	0	0	0
ENSG00000228229	0	0	0	0	0	0
ENSG00000204481	0	0	0	0	0	0
ENSG00000204480	0	0	0	0	0	0
ENSG00000204479	0	0	0	0	0	0
ENSG00000204478	0	0	0	0	0	0
ENSG00000162494	0	0	0	0	0	0
ENSG00000259961	0	0	0	0	0	0
ENSG00000215909	0	0	0	0	0	0
ENSG00000162493	372	950	869	653	394	816
ENSG00000222952	0	2	0	0	0	0
ENSG00000237445	1	0	5	0	1	0
ENSG00000253085	0	0	0	0	0	0
ENSG00000116731	1207	1282	1155	1113	1087	1260
ENSG00000289380	0	2	0	3	0	1
ENSG00000189337	524	627	449	418	537	430
ENSG00000252151	0	0	0	0	0	0
ENSG00000231606	0	0	4	0	0	4
ENSG00000234593	0	0	0	0	0	0
ENSG00000235829	0	1	0	0	0	1
ENSG00000287756	0	3	0	0	0	1
ENSG00000175147	19	23	19	14	5	11
ENSG00000171729	48	93	53	87	60	95
ENSG00000204464	0	0	0	0	0	0
ENSG00000215720	0	0	0	0	0	0
ENSG00000278480	0	0	0	1	0	0
ENSG00000142621	14	33	24	46	52	45
ENSG00000233485	0	0	0	0	0	0
ENSG00000236045	0	0	0	1	0	0
ENSG00000228140	4	14	3	4	13	11
ENSG00000142634	355	343	381	453	450	330
ENSG00000162438	4	5	4	4	2	1
ENSG00000142615	0	3	1	3	0	1
ENSG00000215704	4	5	5	5	5	4
ENSG00000132906	276	400	313	261	300	305
ENSG00000116138	147	133	144	192	125	203
ENSG00000251866	0	0	0	0	0	0
ENSG00000272510	0	0	0	0	0	1
ENSG00000116771	1	3	2	1	0	4
ENSG00000237301	3	5	0	4	2	4
ENSG00000235084	2	6	7	2	2	3
ENSG00000252417	0	0	0	0	0	0
ENSG00000236500	0	1	0	0	0	0
ENSG00000197312	378	297	296	325	285	284
ENSG00000215695	0	0	0	2	0	0
ENSG00000271742	0	0	0	0	0	0
ENSG00000116786	1090	1303	1137	1113	1131	993
ENSG00000237938	0	7	7	4	8	13
ENSG00000162461	40	55	53	82	80	64
ENSG00000224459	1	0	0	1	0	0
ENSG00000162460	0	0	0	0	0	0
ENSG00000162458	186	148	119	96	126	109
ENSG00000224321	0	0	0	2	0	1
ENSG00000233954	214	202	189	182	180	257
ENSG00000178715	20	28	13	33	19	20
ENSG00000179743	193	197	211	189	213	218
ENSG00000065526	2952	2967	2725	2857	2691	3046
ENSG00000270620	1	0	0	0	0	1
ENSG00000116809	649	882	740	777	813	776
ENSG00000234607	0	1	0	2	0	2
ENSG00000231353	0	0	0	0	0	0
ENSG00000275503	0	0	0	0	0	0
ENSG00000224966	0	0	0	0	0	0
ENSG00000183888	0	0	0	0	0	0
ENSG00000233078	0	0	0	0	0	0
ENSG00000173641	2	2	2	2	2	2
ENSG00000186510	0	12	2	9	22	39
ENSG00000232456	3	1	5	0	0	3
ENSG00000184908	7	2	7	3	4	14
ENSG00000185519	33	24	42	14	15	14
ENSG00000142627	356	377	432	219	313	257
ENSG00000227959	1	0	0	0	0	4
ENSG00000224621	0	0	0	0	1	1
ENSG00000234166	0	0	0	0	0	0
ENSG00000142632	0	0	0	0	1	0
ENSG00000291077	0	0	0	0	0	0
ENSG00000237276	0	0	0	0	0	0
ENSG00000288398	1	0	2	0	1	0
ENSG00000132881	0	0	0	0	0	0
ENSG00000233929	0	0	0	0	0	0
ENSG00000037637	1	1	3	41	6	1
ENSG00000055070	44	44	42	53	40	53
ENSG00000226457	0	0	0	0	0	0
ENSG00000187144	1	0	2	0	0	1
ENSG00000157191	64	35	39	83	54	41
ENSG00000290842	5	11	4	3	13	17
ENSG00000226029	3	4	1	2	3	6
ENSG00000080947	0	0	0	0	0	0
ENSG00000206652	0	0	0	0	0	0
ENSG00000261135	4	10	4	0	4	0
ENSG00000285853	0	2	1	1	0	0
ENSG00000224174	0	0	0	0	0	0
ENSG00000233421	0	7	4	0	0	0
ENSG00000277344	0	0	0	0	0	0
ENSG00000225710	0	0	0	0	0	0
ENSG00000219481	30	20	25	39	26	34
ENSG00000271732	0	0	0	0	0	0
ENSG00000291072	36	48	28	36	36	41
ENSG00000215908	0	0	0	0	0	0
ENSG00000283773	0	0	0	0	0	0
ENSG00000186301	31	35	25	16	27	19
ENSG00000282143	0	0	0	0	0	0
ENSG00000207513	0	0	0	0	0	0
ENSG00000280114	0	1	0	0	0	0
ENSG00000236698	1	1	3	1	1	0
ENSG00000290849	0	0	0	0	0	0
ENSG00000268869	0	0	0	0	0	0
ENSG00000279151	0	0	0	0	0	0
ENSG00000293526	0	0	0	0	0	0
ENSG00000282740	0	0	0	0	0	0
ENSG00000058453	18	22	15	38	12	20
ENSG00000290850	0	0	0	0	0	0
ENSG00000207389	0	0	0	0	0	0
ENSG00000227684	0	0	0	0	0	0
ENSG00000290851	1	0	0	0	0	2
ENSG00000186715	0	0	0	0	0	0
ENSG00000223643	0	0	0	0	0	0
ENSG00000230239	0	0	0	0	0	0
ENSG00000263811	0	0	0	0	0	0
ENSG00000228549	0	0	0	0	0	0
ENSG00000277234	0	0	0	0	0	0
ENSG00000238142	0	0	0	0	0	0
ENSG00000235241	0	0	0	0	0	0
ENSG00000207005	0	0	0	0	0	0
ENSG00000272426	0	0	0	0	0	0
ENSG00000290122	0	0	0	0	0	0
ENSG00000117122	124	41	47	150	130	18
ENSG00000286898	0	0	0	0	0	0
ENSG00000226526	0	0	0	0	0	0
ENSG00000159363	3	2	2	0	1	0
ENSG00000288636	0	0	0	0	0	0
ENSG00000117118	16	16	99	15	19	19
ENSG00000117115	4	1	1	0	1	4
ENSG00000204362	0	0	0	0	0	0
ENSG00000282843	0	0	0	0	0	0
ENSG00000142623	0	0	0	0	0	0
ENSG00000142619	0	0	0	0	0	0
ENSG00000266634	0	0	0	0	0	0
ENSG00000159339	0	0	0	0	0	0
ENSG00000276747	0	0	0	0	0	0
ENSG00000227751	0	0	0	0	0	0
ENSG00000179051	1	1	2	2	1	4
ENSG00000290096	0	0	0	0	0	0
ENSG00000074964	736	1289	903	827	676	1043
ENSG00000236648	0	0	0	1	0	0
ENSG00000117148	0	0	0	8	11	2
ENSG00000284653	0	0	0	0	0	0
ENSG00000261781	0	0	0	0	0	0
ENSG00000117154	1023	684	733	707	1082	508
ENSG00000280222	2	3	1	4	2	1
ENSG00000230035	0	0	0	0	0	0
ENSG00000225387	4	0	1	0	1	0
ENSG00000179023	0	11	3	20	29	19
ENSG00000235282	0	1	0	0	0	2
ENSG00000225478	0	0	1	0	0	0
ENSG00000009709	205	498	346	119	118	307
ENSG00000179002	0	0	0	0	0	0
ENSG00000159423	263	367	373	428	450	427
ENSG00000265606	0	0	0	0	0	0
ENSG00000221662	0	0	0	0	0	0
